username,category,num_followers,num_followees,num_posts
jadescarbor,beauty,7231.0,968.0,328.0
fmk.k,beauty,62947.0,1267.0,607.0
_beautykath_,beauty,3951.0,3494.0,253.0
makeup_by_sarahk,beauty,2181.0,719.0,552.0
kinks2curls,beauty,195635.0,180.0,27593.0
mariahlleonard,beauty,96404.0,575.0,673.0
fashionablydesired,beauty,5551.0,1087.0,1558.0
beautygabu,beauty,2282.0,700.0,341.0
hailiebarber,beauty,347006.0,431.0,1545.0
maddiejbeauty,beauty,11045.0,962.0,268.0
nena,beauty,330950.0,406.0,1004.0
carolkyoko,beauty,47351.0,1705.0,2309.0
keeksta89,beauty,1395.0,989.0,1072.0
africanhairsummit,beauty,11000.0,530.0,1008.0
valerievixenmua,beauty,2041.0,201.0,1274.0
debora.eudoracosmeticos,beauty,1202.0,2139.0,2114.0
ryankellymua,beauty,73627.0,2413.0,670.0
diesel_minnie,beauty,66463.0,179.0,392.0
gkccouture_,beauty,15895.0,1321.0,2370.0
keemme_,beauty,53799.0,318.0,444.0
nudelipdiaries,beauty,1494.0,438.0,449.0
cassie_ohsoclassic,beauty,2355.0,818.0,358.0
taylorrosemagic,beauty,3226.0,5900.0,708.0
redlipsreview,beauty,1656.0,986.0,781.0
jessicalee.3,beauty,3388.0,2854.0,680.0
onabeautybender,beauty,26663.0,896.0,813.0
ceicaprofissionais,beauty,2686.0,1005.0,732.0
emilycottontop,beauty,14424.0,1381.0,2124.0
whitneyann_romeo,beauty,6146.0,842.0,1140.0
strawberriredd,beauty,62987.0,663.0,2923.0
kammmmmi_,beauty,41253.0,2635.0,590.0
carobouvette,beauty,4337.0,1287.0,352.0
shearfaithsalonboutique,beauty,2643.0,1652.0,1762.0
hernandes_vaz,beauty,1640.0,4904.0,1035.0
armaniamor,beauty,12249.0,662.0,543.0
calireviewingmama,beauty,3100.0,1444.0,1020.0
itsisabelbedoya,beauty,2822194.0,392.0,849.0
voodoobarbiedoll,beauty,128788.0,893.0,3973.0
itsmyrayeraye,beauty,1614473.0,952.0,1907.0
exteriorglam,beauty,1769918.0,470.0,539.0
smilesciences,beauty,203232.0,5193.0,10681.0
thatbaileygal,beauty,11630.0,5761.0,1760.0
sarahlovsmakeup,beauty,25557.0,4684.0,2569.0
amanda.benko,beauty,6349.0,887.0,338.0
ashleericemakeup,beauty,1342.0,785.0,1090.0
liza_lash,beauty,527732.0,695.0,784.0
feliciagross,beauty,38640.0,671.0,799.0
badassnugget,beauty,75542.0,1281.0,607.0
janet_amrani,beauty,24634.0,659.0,516.0
smilesciencesstreetteam,beauty,12311.0,714.0,2521.0
gnomichi,beauty,43325.0,339.0,410.0
nikkibeautybliss,beauty,33753.0,663.0,358.0
mirapatelll,beauty,54680.0,530.0,500.0
manal,beauty,1527628.0,268.0,1202.0
thecutlife,beauty,1373873.0,997.0,9322.0
sharifaeasmin,beauty,100245.0,685.0,1006.0
sharpfade,beauty,640714.0,69.0,9342.0
just_kinzy,beauty,3133.0,1156.0,407.0
bonimakeup,beauty,4856.0,780.0,384.0
la_reine_de_lion,beauty,4572.0,3894.0,169.0
hairbyalyssarae_,beauty,1728.0,1746.0,1250.0
mystyleboxx,beauty,11764.0,957.0,530.0
sashaamalik,beauty,65803.0,3338.0,2589.0
araxjan,beauty,20352.0,911.0,920.0
imadamejay,beauty,39642.0,1713.0,838.0
lyubilyubov,beauty,48932.0,968.0,549.0
imgloriaann,beauty,33351.0,640.0,454.0
